v_products_model,v_manufacturers_name,v_manufactures_code,v_products_image,v_products_price,v_rrp,v_web_price,v_rate_1,v_rate_2,v_rate_3,v_show_price,v_multi_quantity,v_multi_price,v_trade_multi_quantity,v_trade_multi_price,v_box_quantity,v_status,v_products_name_1,v_products_description_1,v_categories_name_1,v_product_style,v_product_finish,v_product_material,v_product_colour,v_products_weight,v_lumens,v_colour_temp,v_energy_class,v_cri,v_hours,v_bulbs_qty,v_bulbs_watage,v_bulb_type,v_bulb_cap,v_bulbs_inc,v_ip_rating,v_bulbs_s1,v_info,v_product_length,v_dimensions_width,v_dimensions_height,v_product_dia,v_dimensions_depth,v_product_min_drop,v_product_max_drop,v_xsell,v_product_voltage,v_product_guarantee,v_product_saftey_class,v_product_transformer,v_product_driver,v_product_cut_out,v_product_recess,v_product_surface_temp,v_product_tilt,v_product_cable,v_product_options,v_product_nonreturnable,v_product_carrage,v_product_statements,v_product_variant,v_priortity,v_family_caption,v_common_images,v_sale_price,v_now_price
A18 18581,Ansell,AN ADM50GU10SG,products/AN ADM50GU10SG,67.00,,61.00,43.04,53.60,50.25,ABCD,0,0,0,0.00,0,1,Outdoor Up/Down Wall Light,Bi-directional wall light with housing in die-cast aluminium with a textured paint finish,78,2,,8,23,,0,0,0,0,,2,50,GU10,0,,65,2 x 50w  GU10,0,,90,260,150,,,,,,,,,,,,,,,,1,,,,1,,,,
A18 19110,Ansell,AN ADU118/HF,products/AN ADU118-HF,87.00,,79.00,56.33,69.60,65.25,ABCD,0,0,0,0.00,0,1,Outdoor Wall Light Up or Down Facing,*Aluminium construction with polycarbonate diffuser *Installation in either upward or downward orientation *Suitable for internal and external applications *Black textured paint finish**,78,2,,8,2,,0,0,0,0,,1,18,PL-C,0,,65,1 x 18w  PL-C,0,,271,142,148,,,,,,,,,,,,,,,,1,,,,,,,,
A18 19640,Ansell,AN AEBLF26/B,products/AN AEBLF26-B,51.00,,46.00,32.89,40.80,38.25,ABCD,0,0,0,0.00,0,1,Bricklight plain frame,*Housing in high resistant thermoplastic *Tempered satin safety glass diffuser and stainless steel screws *Supplied with thermoplastic back box for recessing **,79,2,,7,2,,0,0,0,0,,1,26,PL-C,0,,65,1 x 26w  PL-C,0,,270,126,,,,,,,,,,,,,,,,,1,,,,,,,,
A18 19641,Ansell,AN AEBLL26/B,products/AN AEBLL26-B,56.00,,51.00,35.76,44.80,42.00,ABCD,0,0,0,0.00,0,1,Bricklight with louvre,*Housing in high resistant thermoplastic *Tempered satin safety glass diffuser and stainless steel screws *Supplied with thermoplastic back box for recessing **,79,2,,7,2,,0,0,0,0,,1,26,PL-C,0,,65,1 x 26w  PL-C,0,,270,126,,,,,,,,,,,,,,,,,1,,,,,,,,
A18 20700,Ansell,AN ALE27/HAL,products/AN ALE27-HAL,80.00,100.00,80.00,64.69,80.00,75.00,ABCD,0,0,0,0.00,0,1,Outdoor Hanging Lantern,*Die-cast aluminium construction with transtarent polycarbonate diffuser *Available in Black or Black Copper paint finishes**,131,2,,8,,,0,0,0,0,,1,100,0,ES,,44,1 x 100w ES ,0,,,,250,,,980,,,,,,,,,,,,,1,,,,,,,,
A18 20704,Ansell,AN ALE27/WL/BL,products/AN ALE27-WL-BL,87.00,108.00,87.00,70.09,86.40,81.00,ABCD,0,0,0,0.00,0,1,Outdoor Wall Light,*Die-cast aluminium construction with transtarent polycarbonate diffuser *Available in Black or Black Copper paint finishes**,77,2,,8,,,0,0,0,0,,1,100,0,ES,,44,1 x 100w ES ,0,,250,500,,410,,,,,,,,,,,,,,,1,,,,,,,,
A18 20705,Ansell,AN ALE27/WL/SS,products/AN ALE27-WL-SS,229.00,286.00,229.00,185.85,228.80,214.50,ABCD,0,0,0,0.00,0,1,Outdoor Wall Light,*High Grade AISI 316L stainless steel Outdoor Wall light *Transtarent polycarbonate diffuser **,77,2,,8,35,,0,0,0,0,,1,100,0,ES,,44,1 x 100w ES ,0,,250,350,,340,,,,,,,,,,,,,,,1,,,,,,,,
A18 21230,Ansell,AN ALEO/100E27,products/AN ALEO-100E27,91.00,,82.00,58.81,72.80,68.25,ABCD,0,0,0,0.00,0,1,Bollard,Die-cast aluminium Bollard with polycarbonate diffuser ,75,2,,8,2,,0,0,0,0,,1,100,0,ES,,44,1 x 100w ES ,0,,,650,205,,,,,,,,,,,,,,,,1,,,,,,,,
A18 21760,Ansell,AN ALI218/HF,products/AN ALI218-HF,95.00,118.00,95.00,76.44,94.40,88.50,ABCD,0,0,0,0.00,0,1,Outdoor Wall Light Black,*Die-cast aluminium body with opal polycarbonate diffuser *360 degree light spill feature**,78,2,,8,2,,0,0,0,0,,2,18,PL-C,G24q-2,,65,2 x 18w G24q-2 PL-C,0,320,200,,,100,,,,,,,,,,,,,,,1,,,,,,,,
A18 21761,Ansell,AN ALI218/SG/HF,products/AN ALI218-SG-HF,95.00,118.00,95.00,76.44,94.40,88.50,ABCD,0,0,0,0.00,0,1,Outdoor Wall Light Silver Grey,*Die-cast aluminium body with opal polycarbonate diffuser *360 degree light spill feature**,78,2,,8,34,,0,0,0,0,,2,18,PL-C,G24q-2,,65,2 x 18w G24q-2 PL-C,0,320,200,,,100,,,,,,,,,,,,,,,1,,,,,,,,
A18 22290,Ansell,AN ALIB/100E27,products/AN ALIB-100E27,95.00,,86.00,61.66,76.00,71.25,ABCD,0,0,0,0.00,0,1,Bollard,*Die-cast aluminium Bollard with polycarbonate diffuser *Internal stainless steel louvre **,75,2,,8,2,,0,0,0,0,,1,100,0,ES,,65,1 x 100w ES ,0,,,1000,138,,,,,,,,,,,,,,,,1,,,,,,,,
A18 22820,Ansell,AN AME27045/BL,products/AN AME27045-BL,111.00,139.00,112.00,90.11,111.20,104.25,ABCD,0,0,0,0.00,0,1,450mm Bollard,"*E27 Die-cast aluminium Bollard with external louvred head *Textured black powder coat finish *Suitable for domestic and commercial applications *Matching Wall Lights *Available as E27, PL-C, SONE / HQI-E**",75,2,,8,2,,0,0,0,0,,1,100,0,ES,,44,1 x 100w ES ,0,,,450,160,,,,,,,,,,,,,,,,1,,,,,,,,
A18 22821,Ansell,AN AME27075/BL,products/AN AME27075-BL,129.00,161.00,129.00,104.07,128.80,120.75,ABCD,0,0,0,0.00,0,1,750mm Bollard,"*E27 Die-cast aluminium Bollard with external louvred head *Textured black powder coat finish *Suitable for domestic and commercial applications *Matching Wall Lights *Available as E27, PL-C, SONE / HQI-E**",75,2,,8,2,,0,0,0,0,,1,100,0,ES,,44,1 x 100w ES ,0,,,750,160,,,,,,,,,,,,,,,,1,,,,,,,,
A18 22822,Ansell,AN AME27100-BL,products/AN AME27100-BL,148.00,185.00,148.00,119.82,148.00,138.75,ABCD,0,0,0,0.00,0,1,1000mm Bollard,"*E27 Die-cast aluminium Bollard with external louvred head *Textured black powder coat finish *Suitable for domestic and commercial applications *Matching Wall Lights *Available as E27, PL-C, SONE / HQI-E**",75,2,,8,2,,0,0,0,0,,1,100,0,ES,,44,1 x 100w ES ,0,,,1000,160,,,,,,,,,,,,,,,,1,,,,,,,,
A18 22824,Ansell,AN AME27045/SS,products/AN AME27045-SS,260.00,325.00,260.00,210.91,260.00,243.75,ABCD,0,0,0,0.00,0,1,Stainless Steel 450mm Bollard,"*E27 High Grade AISI 316L stainless steel Bollard *External louvred head and opal polycarbonate diffuser *Suitable for commercial and domestic applications *Available as E27, PL-C, SONE / HQI-E**",75,2,,8,35,,0,0,0,0,,1,75,0,ES,,44,1 x 75w ES ,0,,,450,160,,,,,,,,,,,,,,,,1,,,,,,,,
