v_products_model,v_manufacturers_name,v_manufactures_code,v_products_image,v_products_price,v_rrp,v_web_price,v_rate_1,v_rate_2,v_rate_3,v_show_price,v_multi_quantity,v_multi_price,v_trade_multi_quantity,v_trade_multi_price,v_box_quantity,v_status,v_products_name_1,v_products_description_1,v_categories_name_1,v_product_style,v_product_finish,v_product_material,v_product_colour,v_products_weight,v_lumens,v_colour_temp,v_energy_class,v_cri,v_hours,v_bulbs_qty,v_bulbs_watage,v_bulb_type,v_bulb_cap,v_bulbs_inc,v_ip_rating,v_bulbs_s1,v_info,v_product_length,v_dimensions_width,v_dimensions_height,v_product_dia,v_dimensions_depth,v_product_min_drop,v_product_max_drop,v_xsell,v_product_voltage,v_product_guarantee,v_product_saftey_class,v_product_transformer,v_product_driver,v_product_cut_out,v_product_recess,v_product_surface_temp,v_product_tilt,v_product_cable,v_product_options,v_product_nonreturnable,v_product_carrage,v_product_statements,v_product_variant,v_priortity,v_family_caption,v_common_images,v_sale_price,v_now_price
O11 12851,Oaks,OA 1324NECH,products/OA 1324NECH,42.00,,42.00,42.00,33.60,33.60,CD,0,0,,,,1,"Non Electric Pendant Shade, Chrome","Non Electric Pendant Shade, Chrome",185,2,,7,7,,0,0,0,0,,0,0,0,0,,0,,0,,,200,350,,,,,,,,,,,,,,,,1,,,,,,,,
O11 12852,Oaks,OA 1324/3AB,products/OA 1324-3AB,75.00,,75.00,75.00,60.00,60.00,CD,0,0,,,,1,"3 Light Pendant, Antique Brass","3 Light Pendant, Antique Brass",45,2,,7,1,,0,0,0,0,,3,40,Mains,G9,1,0,3 x 40w G9 Mains,0,,,190,300,,,,,,,,,,,,,,,,1,,,,,,,,
O11 12853,Oaks,OA 1324/3CH,products/OA 1324-3CH,75.00,,75.00,75.00,60.00,60.00,CD,0,0,,,,1,"3 Light Pendant, Chrome","3 Light Pendant, Chrome",45,2,,7,7,,0,0,0,0,,3,40,Mains,G9,1,0,3 x 40w G9 Mains,0,,,190,300,,,,,,,,,,,,,,,,1,,,,,,,,
O11 12854,Oaks,OA 1324/4AB,products/OA 1324-4AB,125.00,,125.00,125.00,100.00,100.00,CD,0,0,,,,1,"4 Light Pendant, Antique Brass","4 Light Pendant, Antique Brass",45,2,,7,1,,0,0,0,0,,4,40,Mains,G9,1,0,4 x 40w G9 Mains,0,,,300,300,,,,,,,,,,,,,,,,1,,,,,,,,
O11 12855,Oaks,OA 1324/4CH,products/OA 1324-4CH,125.00,,125.00,125.00,100.00,100.00,CD,0,0,,,,1,"4 Light Pendant, Chrome","4 Light Pendant, Chrome",45,2,,7,7,,0,0,0,0,,4,40,Mains,G9,1,0,4 x 40w G9 Mains,0,,,300,300,,,,,,,,,,,,,,,,1,,,,,,,,
O11 12856,Oaks,OA 1324/8AB,products/OA 1324-8AB,175.00,,175.00,175.00,140.00,140.00,CD,0,0,,,,1,"8 Light Pendant, Antique Brass","8 Light Pendant, Antique Brass",45,2,,7,1,,0,0,0,0,,8,40,Mains,G9,1,0,8 x 40w G9 Mains,0,,,400,400,,,,,,,,,,,,,,,,1,,,,,,,,
O11 12857,Oaks,OA 1324/8CH,products/OA 1324-8CH,175.00,,175.00,175.00,140.00,140.00,CD,0,0,,,,1,"8 Light Pendant, Chrome","8 Light Pendant, Chrome",45,2,,7,7,,0,0,0,0,,8,40,Mains,G9,1,0,8 x 40w G9 Mains,0,,,400,400,,,,,,,,,,,,,,,,1,,,,,,,,
O11 12960,Oaks,OA 1349/3CH,products/OA 1349-3CH,120.00,,120.00,120.00,96.00,96.00,CD,0,0,,,,1,Flush Chrome 3 Light,Flush Chrome 3 Light,178,2,,8,7,,0,0,0,0,,3,33,0,G9,1,0,3 x 33w G9 ,0,510,175,130,,,,,,,,,,,,,,,,,1,,,,,,,,
O11 12961,Oaks,OA 1349/4CH,products/OA 1349-4CH,145.00,,145.00,145.00,116.00,116.00,CD,0,0,,,,1,Flush Chrome 4 Light,Flush Chrome 4 Light,178,2,,8,7,,0,0,0,0,,4,33,0,G9,1,0,4 x 33w G9 ,0,495,270,130,,,,,,,,,,,,,,,,,1,,,,,,,,
O11 12962,Oaks,OA 1349/6CH,products/OA 1349-6CH,199.00,,199.00,199.00,159.20,159.20,CD,0,0,,,,1,Flush Chrome 6 Light,Flush Chrome 6 Light,178,2,,8,7,,0,0,0,0,,6,33,0,G9,1,0,6 x 33w G9 ,0,775,390,130,,,,,,,,,,,,,,,,,1,,,,,,,,
